gate,vdd_V,temp_C,load,load_fF,tphl,tplh
inverter,0.8,5,5fF,5.0,29.05162,25.736710000000002
inverter,0.8,5,10fF,10.0,40.49268,35.677879999999995
inverter,0.8,5,15fF,15.0,51.78701,45.521469999999994
inverter,0.8,5,20fF,20.0,63.02771,55.33062
inverter,0.8,5,25fF,25.0,74.24346999999999,65.12294
inverter,0.8,5,30fF,30.0,85.44565,74.90587
inverter,0.8,5,35fF,35.0,96.63989000000001,84.68306
inverter,0.8,5,40fF,40.0,107.8288,94.45664000000001
inverter,0.8,5,45fF,45.0,119.014,104.2281
inverter,0.8,5,50fF,50.0,130.1966,113.9976
inverter,0.8,10,5fF,5.0,29.907929999999997,26.53794
inverter,0.8,10,10fF,10.0,41.78117,36.902229999999996
inverter,0.8,10,15fF,15.0,53.50211,47.16444
inverter,0.8,10,20fF,20.0,65.17004999999999,57.39035
inverter,0.8,10,25fF,25.0,76.81233999999999,67.59969000000001
inverter,0.8,10,30fF,30.0,88.44073999999999,77.79993999999999
inverter,0.8,10,35fF,35.0,100.0613,87.99436
inverter,0.8,10,40fF,40.0,111.6761,98.18498
inverter,0.8,10,45fF,45.0,123.28739999999999,108.37299999999999
inverter,0.8,10,50fF,50.0,134.8961,118.55930000000001
inverter,0.8,15,5fF,5.0,30.77937,27.35603
inverter,0.8,15,10fF,10.0,43.09214,38.14809
inverter,0.8,15,15fF,15.0,55.24896,48.83611
inverter,0.8,15,20fF,20.0,67.3509,59.486779999999996
inverter,0.8,15,25fF,25.0,79.42736000000001,70.12125
inverter,0.8,15,30fF,30.0,91.48994,80.74562
inverter,0.8,15,35fF,35.0,103.5442,91.36427
inverter,0.8,15,40fF,40.0,115.5931,101.9795
inverter,0.8,15,45fF,45.0,127.63820000000001,112.59169999999999
inverter,0.8,15,50fF,50.0,139.68060000000003,123.20239999999998
inverter,0.8,20,5fF,5.0,31.665830000000003,28.188090000000003
inverter,0.8,20,10fF,10.0,44.42497,39.41498
inverter,0.8,20,15fF,15.0,57.025569999999995,50.53599
inverter,0.8,20,20fF,20.0,69.5694,61.619699999999995
inverter,0.8,20,25fF,25.0,82.08792,72.68561
inverter,0.8,20,30fF,30.0,94.59186,83.74185
inverter,0.8,20,35fF,35.0,107.08770000000001,94.79223
inverter,0.8,20,40fF,40.0,119.57770000000001,105.83879999999999
inverter,0.8,20,45fF,45.0,132.0642,116.8828
inverter,0.8,20,50fF,50.0,144.5477,127.9249
inverter,0.8,25,5fF,5.0,32.56687,29.03397
inverter,0.8,25,10fF,10.0,45.780860000000004,40.703939999999996
inverter,0.8,25,15fF,15.0,58.831329999999994,52.265229999999995
inverter,0.8,25,20fF,20.0,71.82489,63.787960000000005
inverter,0.8,25,25fF,25.0,84.79211000000001,75.2926
inverter,0.8,25,30fF,30.0,97.74504999999999,86.78759
inverter,0.8,25,35fF,35.0,110.68939999999999,98.27656
inverter,0.8,25,40fF,40.0,123.6281,109.7618
inverter,0.8,25,45fF,45.0,136.563,121.24429999999998
inverter,0.8,25,50fF,50.0,149.49509999999998,132.7249
inverter,0.8,30,5fF,5.0,33.48269,29.89335
inverter,0.8,30,10fF,10.0,47.15788,42.01381
inverter,0.8,30,15fF,15.0,60.665600000000005,54.02196
inverter,0.8,30,20fF,20.0,74.11587,65.99079
inverter,0.8,30,25fF,25.0,87.53895,77.94132
inverter,0.8,30,30fF,30.0,100.9481,89.8819
inverter,0.8,30,35fF,35.0,114.348,101.8165
inverter,0.8,30,40fF,40.0,127.7426,113.7471
inverter,0.8,30,45fF,45.0,141.1332,125.67509999999999
inverter,0.8,30,50fF,50.0,154.5208,137.6011
inverter,0.8,35,5fF,5.0,34.41301,30.766030000000004
inverter,0.8,35,10fF,10.0,48.55536,43.343270000000004
inverter,0.8,35,15fF,15.0,62.52778,55.80563
inverter,0.8,35,20fF,20.0,76.44138000000001,68.22744999999999
inverter,0.8,35,25fF,25.0,90.32788000000001,80.63051
inverter,0.8,35,30fF,30.0,104.1996,93.02383999999999
inverter,0.8,35,35fF,35.0,118.0624,105.4106
inverter,0.8,35,40fF,40.0,131.91940000000002,117.7937
inverter,0.8,35,45fF,45.0,145.7725,130.174
inverter,0.8,35,50fF,50.0,159.6227,142.5522
inverter,0.8,40,5fF,5.0,35.35727,31.652199999999997
inverter,0.8,40,10fF,10.0,49.97457,44.693310000000004
inverter,0.8,40,15fF,15.0,64.41764,57.61589
inverter,0.8,40,20fF,20.0,78.80152,70.49729
inverter,0.8,40,25fF,25.0,93.15758000000001,83.36014
inverter,0.8,40,30fF,30.0,107.4985,96.21254
inverter,0.8,40,35fF,35.0,121.83080000000001,109.0586
inverter,0.8,40,40fF,40.0,136.1571,121.9006
inverter,0.8,40,45fF,45.0,150.4793,134.7398
inverter,0.8,40,50fF,50.0,164.799,147.5769
inverter,0.8,45,5fF,5.0,36.31491,32.55114
inverter,0.8,45,10fF,10.0,51.41292,46.06345
inverter,0.8,45,15fF,15.0,66.33426,59.452670000000005
inverter,0.8,45,20fF,20.0,81.19471,72.80095
inverter,0.8,45,25fF,25.0,96.02704999999999,86.12947
inverter,0.8,45,30fF,30.0,110.8442,99.44718
inverter,0.8,45,35fF,35.0,125.6521,112.759
inverter,0.8,45,40fF,40.0,140.45420000000001,126.0667
inverter,0.8,45,45fF,45.0,155.2525,139.3712
inverter,0.8,45,50fF,50.0,170.0477,152.6739
inverter,0.8,50,5fF,5.0,37.28595,33.46386
inverter,0.8,50,10fF,10.0,52.8718,47.45197
inverter,0.8,50,15fF,15.0,68.27697,61.31581
inverter,0.8,50,20fF,20.0,83.62031,75.13663000000001
inverter,0.8,50,25fF,25.0,98.93546,88.93751999999999
inverter,0.8,50,30fF,30.0,114.235,102.7276
inverter,0.8,50,35fF,35.0,129.5252,116.51119999999999
inverter,0.8,50,40fF,40.0,144.8098,130.2909
inverter,0.8,50,45fF,45.0,160.0901,144.0677
inverter,0.8,50,50fF,50.0,175.3674,157.8422
